Attacker,Captain Lysander,High Marshal Helbrecht,Marneus Calgar,Chaplain Cassius,Captain Sicarius,Pedro Kantor,The Emperors Champion,Chaplain Grimaldus,Korsarro Khan,Vulkan Hestan,Kayvaan Shrike,Commander Dante,Captain Tycho,Tycho the Lost,The Sanguinor,Astorath,Brother Corbulo,Lemartes,Gabriel Seth,Azrael,Belial,Belial - Thunder Hammer Storm Shield,Belial - Two Lightning Claws,Sammael on Corvex,Sammael on Sableclaw,Asmodai,Ezekiel,Logan Grimnar,Ragnar Blackmane,Krom Dragongraze,Harald Deathwolf,Ulrik the Slayer,Lukas the Trickster,Arjac Rockfist,Watch Captain Artemis,
Lemartes,0.1351,0.4571,0.0761,0.7162,0.4419,0.366,0.4701,0.6587,0.4523,0.3861,0.4163,0.2274,0.9736,0.9609,0.4521,0.6041,0.9426,0.4811,0.2413,0.2943,0.1309,0.133,0.3203,0.2354,0.167,0.5193,0.7313,0.1856,0.4376,0.4567,0.2102,0.4931,0.634,0.026,0.8903,
Gabriel Seth,0.3677,0.6534,0.1036,0.7894,0.5682,0.5483,0.4289,0.8146,0.7262,0.6456,0.4835,0.4035,0.9943,0.9888,0.5396,0.7243,0.9907,0.7167,0.5873,0.4597,0.4418,0.3978,0.8164,0.3992,0.3386,0.7722,0.8232,0.1414,0.6915,0.7278,0.2954,0.7594,0.7162,0.071,0.9928,
Azrael,0.2073,0.6573,0.2151,0.9407,0.6401,0.5529,0.6256,0.9144,0.6277,0.6227,0.5806,0.3823,1.0,0.9998,0.6195,0.7887,0.9995,0.6587,0.4794,0.4375,0.2594,0.2027,0.6392,0.3934,0.3209,0.8424,0.8702,0.2557,0.5792,0.6345,0.4053,0.8235,0.8262,0.0992,0.9866,
Belial,0.3723,0.8649,0.2553,0.963,0.7374,0.8227,0.8298,0.9377,0.7968,0.7322,0.7544,0.6594,1.0,1.0,0.7879,0.9061,0.9999,0.8359,0.4509,0.6656,0.5,0.4153,0.8413,0.7668,0.6717,0.8474,0.9451,0.4343,0.7637,0.7878,0.5725,0.8177,0.9557,0.036,0.9978,
Belial - Thunder Hammer Storm Shield,0.4849,0.8994,0.4826,0.9034,0.7956,0.8656,0.7555,0.9155,0.8457,0.8077,0.8103,0.7461,1.0,1.0,0.8366,0.9218,1.0,0.8341,0.594,0.7547,0.5639,0.4932,0.8639,0.7524,0.5867,0.8859,0.9541,0.4814,0.8263,0.8501,0.4862,0.8645,0.9123,0.1122,0.9971,
Belial - Two Lightning Claws,0.1158,0.6759,0.3366,0.8068,0.5627,0.5945,0.5989,0.8419,0.6535,0.5675,0.6008,0.3831,0.9998,0.999,0.6512,0.793,0.9976,0.6714,0.1936,0.3878,0.1592,0.1455,0.5003,0.3216,0.2411,0.7357,0.8928,0.2302,0.6107,0.6564,0.1508,0.5248,0.7995,0.0513,0.9872,
Sammael on Corvex,0.2512,0.91,0.1219,0.9831,0.7327,0.6926,0.7292,0.9872,0.6768,0.6335,0.6609,0.491,1.0,1.0,0.7052,0.9689,1.0,0.7791,0.6072,0.5875,0.221,0.2533,0.7206,0.6529,0.4776,0.954,0.9621,0.2628,0.8223,0.7091,0.288,0.9417,0.98,0.0083,0.9943,
Sammael on Sableclaw,0.4384,0.9451,0.1747,0.9904,0.8078,0.7654,0.7627,0.9916,0.76,0.7176,0.7514,0.5511,0.9998,0.9998,0.7738,0.9876,1.0,0.8334,0.6127,0.6528,0.3742,0.4454,0.7913,0.7856,0.6332,0.8948,0.981,0.4742,0.9373,0.7863,0.4399,0.9476,0.9956,0.0291,0.9986,
Asmodai,0.0786,0.264,0.002,0.6805,0.1957,0.172,0.2732,0.7273,0.2998,0.2631,0.1463,0.0733,0.896,0.8652,0.1795,0.3534,0.8804,0.4291,0.1684,0.1124,0.1315,0.0908,0.2884,0.0559,0.1146,0.4604,0.4683,0.0314,0.3298,0.3067,0.1601,0.411,0.563,0.1607,0.8817,
Ezekiel,0.0302,0.2217,0.0134,0.6092,0.2247,0.1495,0.1887,0.6748,0.2032,0.1809,0.1778,0.066,0.9854,0.974,0.2066,0.3398,0.9727,0.2452,0.1548,0.0993,0.0462,0.0368,0.1094,0.0406,0.022,0.5228,0.4947,0.0416,0.2277,0.2167,0.0384,0.4084,0.5184,0.0027,0.6731,
Logan Grimnar,0.4839,0.8438,0.2935,0.9662,0.7943,0.7674,0.6587,0.9685,0.7664,0.716,0.7155,0.6206,1.0,1.0,0.7526,0.8905,0.9999,0.7584,0.7968,0.6863,0.5137,0.4717,0.7753,0.7067,0.525,0.9579,0.9429,0.4318,0.7947,0.7691,0.4553,0.9458,0.8907,0.0889,0.9962,
Ragnar Blackmane,0.1268,0.5176,0.0312,0.7565,0.4222,0.4091,0.5752,0.7892,0.3979,0.3529,0.3496,0.2573,0.986,0.9816,0.41,0.6291,0.9901,0.5231,0.2584,0.3153,0.1825,0.1447,0.4047,0.173,0.0795,0.5572,0.7193,0.1267,0.4319,0.4083,0.137,0.5308,0.9105,0.002,0.9329,
Krom Dragongraze,0.1223,0.4782,0.0768,0.7906,0.4597,0.383,0.4647,0.7282,0.4579,0.3934,0.4084,0.2391,0.9855,0.9777,0.4616,0.6153,0.9678,0.5044,0.2325,0.2834,0.1686,0.1308,0.3573,0.2721,0.2189,0.6026,0.7467,0.1709,0.4883,0.4594,0.2684,0.5628,0.6921,0.0273,0.9278,
Harald Deathwolf,0.382,0.8877,0.2208,0.9879,0.7417,0.8083,0.7334,0.9791,0.8081,0.6354,0.7982,0.504,0.9995,0.9989,0.6976,0.9416,0.9999,0.7647,0.668,0.5401,0.4254,0.4994,0.8467,0.7563,0.6153,0.8135,0.9595,0.5568,0.8713,0.7133,0.4997,0.8701,0.9695,0.0507,0.9993,
Ulrik the Slayer,0.0796,0.3007,0.0029,0.6987,0.2433,0.1959,0.27,0.7304,0.3061,0.2938,0.14,0.0763,0.9849,0.9812,0.1866,0.421,0.9367,0.421,0.1622,0.1173,0.136,0.1013,0.4008,0.0562,0.0517,0.4766,0.5372,0.0346,0.3394,0.3169,0.1127,0.4259,0.5659,0.0008,0.949,
Lukas the Trickster,0.0428,0.2155,0.0009,0.573,0.2238,0.1733,0.4141,0.6407,0.1482,0.173,0.1395,0.1254,0.9598,0.9468,0.1297,0.3056,0.9189,0.3555,0.2031,0.1424,0.0323,0.0603,0.1755,0.0274,0.004,0.365,0.4012,0.0526,0.117,0.225,0.0234,0.3258,0.546,0,0.6352,
Arjac Rockfist,0.8423,0.9858,0.7755,0.9993,0.957,0.9762,0.9517,0.9987,0.9743,0.9559,0.9687,0.9426,0.9995,0.999,0.9705,0.9895,1.0,0.971,0.9413,0.9379,0.9651,0.8546,0.9454,0.9883,0.9667,0.9506,0.9963,0.8539,0.993,0.9754,0.9518,0.9975,0.9993,0.4352,0.9991,
Watch Captain Artemis,0.0018,0.0719,0.0048,0.1838,0.086,0.0387,0.0736,0.2948,0.0791,0.0462,0.0557,0.0084,0.8294,0.7474,0.0779,0.1737,0.8394,0.113,0.008,0.0177,0.0025,0.0019,0.0135,0.0065,0.0031,0.1295,0.3337,0.0058,0.0765,0.0767,0.0005,0.0322,0.3515,0.0004,0.5076,
